SKU,UPC,Category,Brand,Product Name,Title,Color,Size,images link,Description,Net Weight,Net Weigth Unit,Case Width,Case Length,Case Height,Case Unit,qty per case
F06110,F06110-WHI-AS,Headwear,CSW 24/7,Flexfit,Flexfit Adjustable Cap,White,AS,https://canadasportswear.com/cdn/shop/files/6110NU_WHITE_LEFTSLANT_STICKER_1c9f18b6-c46f-4bdd-998d-27e53967e5b4_2000x.png?v=1732911700,"24/7 All Day Every Day / Flexfit Nu Adjustable Cap. The Flexfit NU Adjustable Cap combines the original Flexfit Tech, enhanced Cool & Dry technology, and ActiveGuard technology to embody refinement and modern comfortability with an iconic foundation. Integrating personalized fit with an adjustable back that fits up to the ten sizes, the Flexfit NU Adjustable Cap is reimagined as an all-around player for the new premium everyday headwear. Comes with tear away embroidery backing for easy decoration. We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06277,F06277-GRE-S-M,Headwear,CSW 24/7,Flexfit,Flexfit Wooly Combed Cap,Grey,S-M,https://canadasportswear.com/cdn/shop/files/6277_GREY_LEFTSLANT_STICKER_23877827-b8b8-4c9a-9c45-53aa43815fd0_2000x.png?v=1732911780,"24/7 All Day Every Day / FlexFit Wooly Combed Fitted Cap. 63% Polyester, 34% Cotton, 3% PU Spandex twill, Baseball cap with wool-like fabric, 6 panel, mid profile, structured, closed back,  stretch fitted, Permacurv visor with 8 rows of topstitching, silver under visor, sewn in FlexFit label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration.
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06277,F06277-GRE-L-XL,Headwear,CSW 24/7,Flexfit,Flexfit Wooly Combed Cap,Grey,L-XL,https://canadasportswear.com/cdn/shop/files/6277_GREY_LEFTSLANT_STICKER_23877827-b8b8-4c9a-9c45-53aa43815fd0_2000x.png?v=1732911780,"24/7 All Day Every Day / FlexFit Wooly Combed Fitted Cap. 63% Polyester, 34% Cotton, 3% PU Spandex twill, Baseball cap with wool-like fabric, 6 panel, mid profile, structured, closed back,  stretch fitted, Permacurv visor with 8 rows of topstitching, silver under visor, sewn in FlexFit label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration.
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06277,F06277-BLA-S-M,Headwear,CSW 24/7,Flexfit,Flexfit Wooly Combed Cap,Black,S-M,https://canadasportswear.com/cdn/shop/files/6277_BLACK_LEFTSLANT_STICKER_c77dd102-9337-4ea8-bf1f-1e53dad51c15_2000x.png?v=1732911780,"24/7 All Day Every Day / FlexFit Wooly Combed Fitted Cap. 63% Polyester, 34% Cotton, 3% PU Spandex twill, Baseball cap with wool-like fabric, 6 panel, mid profile, structured, closed back,  stretch fitted, Permacurv visor with 8 rows of topstitching, silver under visor, sewn in FlexFit label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration.
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06277,F06277-BLA-L-XL,Headwear,CSW 24/7,Flexfit,Flexfit Wooly Combed Cap,Black,L-XL,https://canadasportswear.com/cdn/shop/files/6277_BLACK_LEFTSLANT_STICKER_c77dd102-9337-4ea8-bf1f-1e53dad51c15_2000x.png?v=1732911780,"24/7 All Day Every Day / FlexFit Wooly Combed Fitted Cap. 63% Polyester, 34% Cotton, 3% PU Spandex twill, Baseball cap with wool-like fabric, 6 panel, mid profile, structured, closed back,  stretch fitted, Permacurv visor with 8 rows of topstitching, silver under visor, sewn in FlexFit label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration.
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06277,F06277-NAV-S-M,Headwear,CSW 24/7,Flexfit,Flexfit Wooly Combed Cap,Navy,S-M,https://canadasportswear.com/cdn/shop/files/6277_NAVY_LEFTSLANT_STICKER_3a270b4c-d81b-4d4d-be0e-698698d85790_2000x.png?v=1732911780,"24/7 All Day Every Day / FlexFit Wooly Combed Fitted Cap. 63% Polyester, 34% Cotton, 3% PU Spandex twill, Baseball cap with wool-like fabric, 6 panel, mid profile, structured, closed back,  stretch fitted, Permacurv visor with 8 rows of topstitching, silver under visor, sewn in FlexFit label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration.
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06277,F06277-NAV-L-XL,Headwear,CSW 24/7,Flexfit,Flexfit Wooly Combed Cap,Navy,L-XL,https://canadasportswear.com/cdn/shop/files/6277_NAVY_LEFTSLANT_STICKER_3a270b4c-d81b-4d4d-be0e-698698d85790_2000x.png?v=1732911780,"24/7 All Day Every Day / FlexFit Wooly Combed Fitted Cap. 63% Polyester, 34% Cotton, 3% PU Spandex twill, Baseball cap with wool-like fabric, 6 panel, mid profile, structured, closed back,  stretch fitted, Permacurv visor with 8 rows of topstitching, silver under visor, sewn in FlexFit label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration.
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06277,F06277-CHA-S-M,Headwear,CSW 24/7,Flexfit,Flexfit Wooly Combed Cap,Charcoal,S-M,https://canadasportswear.com/cdn/shop/files/6277_DARKGREY_LEFTSLANT_STICKER_f6c65681-63d9-4210-bd4c-f5de7bf8ed92_2000x.png?v=1732911780,"24/7 All Day Every Day / FlexFit Wooly Combed Fitted Cap. 63% Polyester, 34% Cotton, 3% PU Spandex twill, Baseball cap with wool-like fabric, 6 panel, mid profile, structured, closed back,  stretch fitted, Permacurv visor with 8 rows of topstitching, silver under visor, sewn in FlexFit label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration.
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06277,F06277-CHA-L-XL,Headwear,CSW 24/7,Flexfit,Flexfit Wooly Combed Cap,Charcoal,L-XL,https://canadasportswear.com/cdn/shop/files/6277_DARKGREY_LEFTSLANT_STICKER_f6c65681-63d9-4210-bd4c-f5de7bf8ed92_2000x.png?v=1732911780,"24/7 All Day Every Day / FlexFit Wooly Combed Fitted Cap. 63% Polyester, 34% Cotton, 3% PU Spandex twill, Baseball cap with wool-like fabric, 6 panel, mid profile, structured, closed back,  stretch fitted, Permacurv visor with 8 rows of topstitching, silver under visor, sewn in FlexFit label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration.
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06277,F06277-WHI-S-M,Headwear,CSW 24/7,Flexfit,Flexfit Wooly Combed Cap,White,S-M,https://canadasportswear.com/cdn/shop/files/6277_WHITE_LEFTSLANT_STICKER_79d5d8e9-fe0a-4b5f-a05e-799e70c5abac_2000x.png?v=1732911780,"24/7 All Day Every Day / FlexFit Wooly Combed Fitted Cap. 63% Polyester, 34% Cotton, 3% PU Spandex twill, Baseball cap with wool-like fabric, 6 panel, mid profile, structured, closed back,  stretch fitted, Permacurv visor with 8 rows of topstitching, silver under visor, sewn in FlexFit label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration.
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
